name;date;time;stage
Focus.;Mittwoch 06.08.25;15:15;Seebühne
CLUDI;Mittwoch 06.08.25;16:00;Elektrogarten
Hi! Spencer;Mittwoch 06.08.25;16:15;Seebühne
Rogers;Mittwoch 06.08.25;17:30;Seebühne
La Guta;Mittwoch 06.08.25;18:00Uhr;Elektrogarten
Raum27;Mittwoch 06.08.25;19:00;Seebühne
Josi Miller;Mittwoch 06.08.25;20:00;Elektrogarten
Maxïmo Park;Mittwoch 06.08.25;20:30;Seebühne
A.N.I.;Mittwoch 06.08.25;22:00;Elektrogarten
Grossstadtgeflüster;Mittwoch 06.08.25;22:30;Seebühne
KXXMA;Donnerstag 07.08.25;00:00;Elektrogarten
Open Flair Eröffnungsshow;Donnerstag 07.08.25;13:45;E-Werk
Glas Klar INSTEREO;Donnerstag 07.08.25;15:00;Hofbühne
ELL;Donnerstag 07.08.25;15:30;Seebühne
Open Flair Crossover Slam;Donnerstag 07.08.25;16:00;E-Werk
DJ Chi;Donnerstag 07.08.25;16:00;Elektrogarten
Kinderzirkus Fantasia;Donnerstag 07.08.25;16:00;Kleinkunstzelt
TRiPKiD;Donnerstag 07.08.25;16:30;Seebühne
MacCormac;Donnerstag 07.08.25;17:00;Hofbühne
Schippe Dreck;Donnerstag 07.08.25;17:00;Schlossparkbühne
Reis Against The Spülmaschine;Donnerstag 07.08.25;18:00;Seebühne
Maik Martschinkowsky ;Donnerstag 07.08.25;18:00;E-Werk
NiBo;Donnerstag 07.08.25;18:00;Elektrogarten
TEN SING;Donnerstag 07.08.25;18:00;Kleinkunstzelt
Siggi;Donnerstag 07.08.25;19:00;Hofbühne
Schippe Dreck;Donnerstag 07.08.25;19:00;Schlossparkbühne
Future Palace;Donnerstag 07.08.25;19:30;Seebühne
RUMO;Donnerstag 07.08.25;20:00;Elektrogarten
Ami Warning;Donnerstag 07.08.25;20:00;E-Werk
Nils Heinrich;Donnerstag 07.08.25;20:00;Kleinkunstzelt
Irie Révoltés;Donnerstag 07.08.25;21:00;Seebühne
Carla Ahad;Donnerstag 07.08.25;21:00;Hofbühne
Frogs;Donnerstag 07.08.25;21:15;Weinzelt
Jannik Fischbach ;Donnerstag 07.08.25;22:00;Elektrogarten 
Rainer von Vielen ;Donnerstag 07.08.25;22:00;E-Werk
Florian Schroeder;Donnerstag 07.08.25;22:00;Kleinkunstzelt
Ski Aggu;Donnerstag 07.08.25;22:30;Seebühne
Frogs;Donnerstag 07.08.25;23:15;Weinzelt
Pappenheimer;Freitag 08.08.25;00:00;Elektrogarten
The Butcher Sisters;Freitag 08.08.25;00:30;Seebühne
Kerobin + 34TJAY;Freitag 08.08.25;13:00;Radio Bob Bühne
Kießling&Kaffka;Freitag 08.08.25;13:30;E-Werk
Chaosbay;Freitag 08.08.25;13:30;Freibühne
Betontod;Freitag 08.08.25;14:15;Radio Bob Bühne
Notes of Berlin;Freitag 08.08.25;14:15;Kleinkunstzelt
Nina Jacob;Freitag 08.08.25;14:30 ;Hofbühne
Serpentin;Freitag 08.08.25;15:15;Freibühne
Luksan Wunder;Freitag 08.08.25;15:30;E-Werk
M.I.A Courage Gruppe BGS;Freitag 08.08.25;15:30;Schlossparkbühne
Marco Baskind;Freitag 08.08.25;16:00;Elektrogarten
